replay_num,replay_link                                                                              ,player_p1         ,player_p2         ,switch_p1a,switch_p2a,winner,turns
2463      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799526                               ,drogasas          ,DanteADV          ,Tyranitar ,Venusaur  ,1     ,69
2460      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799536                               ,ccczzx            ,Dhrabb            ,Tyranitar ,Medicham  ,2     ,29
2464      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799530                               ,DanteADV          ,drogasas          ,Metagross ,Skarmory  ,1     ,32
2466      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799354                               ,cisconduct        ,Himurabt          ,Salamence ,Zapdos    ,2     ,26
2468      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799511                               ,smollest brian    ,DiegoIn           ,Venusaur  ,Zapdos    ,2     ,37
2469      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799512                               ,smollest brian    ,DiegoIn           ,Tyranitar ,Swampert  ,1     ,61
2473      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800140                               ,thedhope          ,ur_gfs_next_bf    ,Tyranitar ,Zapdos    ,2     ,28
2470      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799516                               ,DiegoIn           ,smollest brian    ,Suicune   ,Tyranitar ,2     ,38
2472      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800131                               ,thedhope          ,ur_gfs_next_bf    ,Zapdos    ,Tyranitar ,1     ,37
2471      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800123                               ,thedhope          ,ur_gfs_next_bf    ,Blissey   ,Medicham  ,2     ,23
2474      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799553                               ,wwwmonmon         ,Venik777          ,Tyranitar ,Zapdos    ,1     ,37
2476      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799755                               ,jerdgerd          ,duckstroyer       ,Zapdos    ,Skarmory  ,1     ,27
2475      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799560                               ,wwwmonmon         ,Venik777          ,Zapdos    ,Snorlax   ,1     ,26
2477      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799758                               ,jerdgerd          ,duckstroyer       ,Skarmory  ,Skarmory  ,1     ,50
2478      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800043                               ,wiilink100        ,asbolus verrucosus,Alakazam  ,Machamp   ,1     ,54
2479      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800047                               ,asbolus verrucosus,wiilink100        ,Sceptile  ,Skarmory  ,2     ,101
2481      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800501                               ,Salty Lame-o      ,Beleth7rei        ,Smeargle  ,Metagross ,1     ,26
2480      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800511                               ,Beleth7rei        ,Salty Lame-o      ,Medicham  ,Zapdos    ,2     ,19
2485      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799782                               ,Kvist             ,Yallen            ,Metagross ,Regirock  ,2     ,14
2483      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799119                               ,Spreek            ,jank_city.mp4     ,Registeel ,Metagross ,2     ,27
2484      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799121                               ,jank_city.mp4     ,Spreek            ,Skarmory  ,Skarmory  ,2     ,36
2482      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799117                               ,Spreek            ,jank_city.mp4     ,Breloom   ,Blaziken  ,1     ,28
2486      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799784                               ,Kvist             ,Yallen            ,Tyranitar ,Raikou    ,1     ,23
2487      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799786                               ,Kvist             ,Yallen            ,Zapdos    ,Vaporeon  ,1     ,40
2489      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799995                               ,Glick666          ,jlev              ,Skarmory  ,Salamence ,2     ,46
2488      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799986                               ,jlev              ,Glick666          ,Vaporeon  ,Gengar    ,1     ,19
2490      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799622                               ,icypatek          ,go-go-zeppeli-1890,Medicham  ,Tyranitar ,1     ,18
2491      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799630                               ,icypatek          ,go-go-zeppeli-1890,Jynx      ,Regirock  ,2     ,45
2493      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800152                               ,HexMoonie         ,SlamonBBQ         ,Metagross ,Swampert  ,2     ,48
2494      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800156                               ,HexMoonie         ,SlamonBBQ         ,Medicham  ,Registeel ,1     ,23
2492      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799637                               ,icypatek          ,go-go-zeppeli-1890,Tyranitar ,Snorlax   ,2     ,27
2495      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800159                               ,HexMoonie         ,SlamonBBQ         ,Blaziken  ,Swampert  ,2     ,46
2497      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799149                               ,taccat            ,cheesimoon        ,Suicune   ,Metagross ,1     ,22
2498      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799150                               ,taccat            ,cheesimoon        ,Salamence ,Metagross ,2     ,39
2496      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-799147                               ,taccat            ,cheesimoon        ,Jynx      ,Alakazam  ,2     ,26
2499      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800414                               ,AutumnMint        ,bluesenergy00     ,Suicune   ,Metagross ,2     ,16
2501      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800403                               ,NoBottlecapsBlisy ,AC77              ,Swampert  ,Tyranitar ,2     ,41
2500      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800425                               ,AutumnMint        ,bluesenergy00     ,Zapdos    ,Smeargle  ,2     ,25
2503      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800443                               ,NoBottlecapsBlisy ,AC77              ,Tyranitar ,Zapdos    ,2     ,33
2504      ,https://replay.pokemonshowdown.com/smogtours-gen3ou-800398                               ,swordpeaceAD      ,themessiah1       ,Jolteon   ,Glalie    ,2     ,30
